4,161883923132285,-0.040480047,0.03435478,0.088150635
4,161883918154577,-0.040480047,0.03435478,0.088150635
4,161883943821973,-0.040480047,0.03435478,0.088150635
4,161883951960098,-0.036485307,0.028495824,0.08282431
4,161883960095983,-0.009321064,0.009853696,0.082025364
4,161883968226608,0.017044231,0.002130529,0.08468852
4,161883973257858,0.06258429,-0.009054748,0.08468852
4,161883979624056,0.07669904,-0.014647386,0.08149273
4,161883987389264,0.08149273,-0.019707393,0.07536746
4,161883990587025,0.06844324,-0.023702133,0.061519023
4,161883998038691,0.056991648,-0.025566347,0.05352954
4,161884005461556,0.043409526,-0.031158986,0.048203215
4,161884010359472,0.02876214,-0.032490566,0.025033714
4,161884018281191,0.02876214,-0.032490566,0.025033714
4,161884025601920,0.033023197,-0.030360037,0.016777916
4,161884032988379,0.03914847,-0.023435818,0.014913702
4,161884039907337,0.03914847,-0.023435818,0.014913702
4,161884047815254,0.03914847,-0.023435818,0.014913702
4,161884052804889,0.024234766,-0.022903185,0.010386328
4,161884060891087,0.0053263223,-0.021038974,0.006924219
4,161884069569785,0.002396845,-0.01917476,0.007456851
4,161884076941295,0.011451593,-0.01784318,0.013315806
4,161884084140045,0.05273059,-0.019973708,0.03355583
4,161884091544525,0.05273059,-0.019973708,0.03355583
4,161884111306608,0.041012682,-0.026897928,0.040213734
4,161884120129941,0.020506341,-0.02609898,0.036218993
4,161884099148170,0.020506341,-0.02609898,0.036218993
4,161884106360254,0.020506341,-0.02609898,0.036218993
4,161884145749681,-0.021571605,-0.0053263223,0.007190535
4,161884149061712,-0.023435818,-0.004527374,7.9894834E-4
4,161884138250358,-0.018908445,-0.0031957934,-0.0015978967
4,161884132066504,-0.018908445,-0.0031957934,-0.0015978967
4,161884126142545,-0.018908445,-0.0031957934,-0.0015978967
4,161884153185358,-0.018908445,-0.0031957934,-0.0015978967
4,161884158791191,-0.0058589545,-0.004527374,5.326322E-4
4,161884163672858,0.00958738,-0.0077231675,0.0010652645
4,161884169535462,0.03089267,-0.011451593,0.0031957934
4,161884177170670,0.054328486,-0.014647386,0.0
4,161884199174993,0.017044231,-0.013582122,-0.0127831735
